From,To,Departure Time,Arrival Time
Qatar,Liechtenstein,04:38 AM,12:25 PM
Jamaica,Switzerland,11:28 PM,3:33 AM
Congo,Niue,11:13 PM,3:00 AM
Rwanda,New Caledonia,04:53 AM,6:12 AM
United Kingdom,Bulgaria,04:58 AM,9:13 AM
Malawi,Bulgaria,10:57 AM,11:18 AM
Chile,Finland,12:53 AM,3:22 AM
Congo,Switzerland,03:29 AM,8:12 AM
Jamaica,Afghanistan,03:03 PM,10:08 PM
Mexico,Sweden,09:54 PM,4:28 AM
Saint Kitts and Nevis,Err:502,03:02 PM,10:08 PM
French Southern Territories,Bouvet Island,03:20 AM,6:42 AM
French Southern Territories,Guyana,02:38 AM,4:49 AM
Yemen,Uganda,05:01 AM,7:53 AM
Palau,Yemen,07:28 PM,2:34 AM
Hungary,South Georgia and the South Sandwich Islands,06:51 AM,12:23 PM
Mexico,New Caledonia,02:45 PM,6:55 PM
Bangladesh,New Caledonia,02:44 AM,4:23 AM
Saint Kitts and Nevis,New Caledonia,10:33 AM,1:11 PM
Tunisia,Canada,03:55 AM,6:57 AM
Liechtenstein,Bangladesh,11:56 PM,7:21 AM
Kazakhstan,Peru,01:05 PM,7:15 PM
Mexico,Indonesia,01:24 AM,6:45 AM
Jamaica,Bulgaria,02:22 PM,7:31 PM
Palau,Guyana,02:35 PM,4:17 PM
Rwanda,Sweden,01:58 AM,7:59 AM
Malawi,Uganda,01:52 PM,3:47 PM
Samoa,Qatar,08:58 AM,4:29 PM
Mexico,Bouvet Island,09:04 AM,2:44 PM
Cuba,Montenegro,04:45 AM,7:15 AM
Bangladesh,Peru,11:16 AM,6:13 PM
Holy See (Vatican City State),Finland,11:47 PM,11:53 PM
Cuba,Finland,10:31 PM,1:24 AM
Chile,Err:502,10:09 PM,4:47 AM
Palau,Montserrat,05:19 PM,6:00 PM
Yemen,Angola,08:17 PM,1:49 AM
Qatar,Switzerland,06:54 AM,1:02 PM
Tunisia,Montenegro,11:53 AM,3:07 PM
South Georgia and the South Sandwich Islands,Indonesia,12:18 PM,1:45 PM
Palau,Bouvet Island,10:22 PM,2:26 AM
United Arab Emirates,Peru,12:51 PM,8:32 PM
Mexico,South Georgia and the South Sandwich Islands,07:56 PM,1:37 AM
Holy See (Vatican City State),South Georgia and the South Sandwich Islands,11:23 PM,2:56 AM
Yemen,Niue,06:03 PM,7:19 PM
Qatar,Err:502,01:29 AM,2:45 AM
South Georgia and the South Sandwich Islands,Sweden,01:18 AM,7:13 AM
Hungary,Angola,06:41 AM,11:24 AM
Holy See (Vatican City State),Qatar,02:35 AM,9:38 AM
Ethiopia,Indonesia,11:11 PM,3:56 AM
United Arab Emirates,Finland,01:04 AM,5:27 AM
French Guiana,Finland,12:19 PM,2:29 PM
Hungary,United States Minor Outlying Islands,01:53 PM,5:39 PM
Malawi,Uganda,04:27 PM,7:06 PM
Yemen,Kiribati,02:30 AM,3:51 AM
Holy See (Vatican City State),Bangladesh,11:21 AM,3:45 PM
Bangladesh,United States Minor Outlying Islands,06:11 AM,11:53 AM
United Kingdom,Bulgaria,07:14 AM,12:12 PM
Yemen,South Georgia and the South Sandwich Islands,02:04 PM,4:28 PM
Congo,Bouvet Island,08:17 PM,2:08 AM
Holy See (Vatican City State),Err:502,07:36 AM,8:31 AM
Cuba,Qatar,12:38 PM,3:43 PM
Yemen,Australia,03:12 AM,10:20 AM
French Southern Territories,Peru,09:33 AM,2:58 PM
Rwanda,Kenya,01:10 AM,8:35 AM
Chile,Montserrat,06:34 PM,1:36 AM
Jamaica,Sweden,08:19 PM,10:53 PM
Yemen,Kiribati,05:06 PM,7:03 PM
Yemen,Uganda,06:44 AM,11:24 AM
Ethiopia,United States Minor Outlying Islands,11:28 PM,2:16 AM
Ethiopia,Australia,03:06 PM,4:42 PM
Cuba,Montenegro,10:35 AM,2:15 PM
Hungary,Peru,02:23 PM,5:41 PM
Ethiopia,Bouvet Island,08:50 AM,12:49 PM
Chile,Bangladesh,08:22 PM,11:00 PM
Congo,Montserrat,02:59 PM,6:21 PM
Tunisia,Qatar,07:04 AM,11:31 AM
Jamaica,Peru,08:59 PM,12:00 AM
Bangladesh,Switzerland,08:31 AM,10:59 AM
Mauritania,Angola,03:05 AM,9:42 AM
Samoa,South Georgia and the South Sandwich Islands,10:35 AM,3:59 PM
Chile,Canada,08:24 PM,1:04 AM
Qatar,Afghanistan,03:32 PM,3:47 PM
Mexico,Afghanistan,04:41 AM,9:10 AM
Yemen,Montserrat,05:40 AM,9:45 AM
Saint Kitts and Nevis,South Georgia and the South Sandwich Islands,03:25 AM,8:08 AM
South Georgia and the South Sandwich Islands,Indonesia,03:48 PM,9:01 PM
Liechtenstein,Finland,11:25 AM,2:40 PM
United Arab Emirates,Yemen,05:33 AM,9:44 AM
South Georgia and the South Sandwich Islands,Yemen,01:55 PM,3:22 PM
Mauritania,Bouvet Island,04:28 PM,9:47 PM
Norway,Montserrat,06:24 PM,2:09 AM
Kazakhstan,United States Minor Outlying Islands,01:55 AM,9:35 AM
Bangladesh,Indonesia,04:54 PM,8:05 PM
Mauritania,Peru,04:15 AM,12:02 PM
Rwanda,Kiribati,02:37 AM,5:22 AM
French Southern Territories,Qatar,06:23 AM,9:14 AM
Mexico,Peru,10:10 AM,3:53 PM
Mexico,Guyana,05:03 AM,12:19 PM
Liechtenstein,Peru,10:31 PM,5:47 AM
Holy See (Vatican City State),South Georgia and the South Sandwich Islands,01:56 PM,9:00 PM
Mauritania,Indonesia,07:13 AM,7:59 AM
Liechtenstein,Finland,09:24 PM,4:03 AM
Tunisia,Err:502,10:46 PM,4:11 AM
Congo,Montenegro,04:58 AM,10:26 AM
Jamaica,Sweden,08:06 AM,9:12 AM
Norway,Slovenia,01:42 PM,2:55 PM
Congo,Peru,05:53 AM,8:56 AM
Saint Kitts and Nevis,Peru,06:46 PM,10:31 PM
Saint Kitts and Nevis,Niue,12:54 PM,2:07 PM
Norway,Bangladesh,02:52 AM,3:32 AM
Kazakhstan,Bulgaria,10:28 AM,11:09 AM
Ethiopia,United States Minor Outlying Islands,02:33 PM,7:14 PM
Cuba,Guyana,11:09 AM,5:35 PM
Holy See (Vatican City State),Switzerland,09:07 PM,11:00 PM
Kazakhstan,New Caledonia,09:22 PM,10:42 PM
Cuba,Australia,04:29 PM,8:56 PM
Liechtenstein,Uganda,12:22 PM,2:08 PM
Mexico,New Caledonia,03:01 AM,5:57 AM
Liechtenstein,United States Minor Outlying Islands,10:54 PM,4:13 AM
Kazakhstan,South Georgia and the South Sandwich Islands,08:31 PM,10:50 PM
Liechtenstein,Montserrat,07:51 AM,12:44 PM
Yemen,Bangladesh,10:11 AM,4:27 PM
Malawi,Indonesia,02:53 AM,8:42 AM
Malawi,Indonesia,03:38 AM,10:20 AM
Kazakhstan,Canada,08:07 PM,2:09 AM
Samoa,Canada,05:58 PM,8:18 PM
Mexico,Bangladesh,12:27 AM,3:03 AM
South Georgia and the South Sandwich Islands,Indonesia,09:27 PM,2:34 AM
Qatar,Niue,12:08 AM,4:43 AM
Rwanda,Qatar,07:37 AM,12:59 PM
Jamaica,Yemen,05:07 PM,10:55 PM
Samoa,Kenya,10:46 AM,4:41 PM
Hungary,Montenegro,10:20 PM,3:54 AM
Bangladesh,Afghanistan,07:37 PM,12:01 AM
Qatar,Indonesia,11:23 PM,2:26 AM
Norway,Liechtenstein,09:00 PM,3:06 AM
Samoa,New Caledonia,02:19 AM,6:15 AM
Malawi,Bulgaria,08:04 PM,2:46 AM
Holy See (Vatican City State),Switzerland,11:51 AM,4:39 PM
South Georgia and the South Sandwich Islands,Indonesia,07:23 AM,11:48 AM
Samoa,Bangladesh,01:04 PM,5:27 PM
South Georgia and the South Sandwich Islands,Slovenia,05:34 AM,8:52 AM
United Arab Emirates,Err:502,04:27 AM,11:24 AM
French Southern Territories,Liechtenstein,05:54 PM,6:39 PM
Mauritania,Canada,12:11 PM,2:14 PM
Cuba,Yemen,05:52 PM,11:27 PM
Ethiopia,Kenya,12:06 PM,1:36 PM
Chile,Switzerland,03:36 PM,6:10 PM
Saint Kitts and Nevis,Kenya,03:56 AM,9:52 AM
Rwanda,Montenegro,06:50 AM,10:19 AM
Mexico,Bulgaria,12:53 AM,2:09 AM
Liechtenstein,Qatar,11:33 AM,5:05 PM
Rwanda,Niue,05:45 AM,5:53 AM
French Southern Territories,Bulgaria,08:34 PM,11:16 PM
Kazakhstan,Guyana,06:06 PM,10:13 PM
Kazakhstan,Kenya,12:54 PM,5:41 PM
Congo,Kiribati,06:03 AM,9:31 AM
Mexico,Kiribati,03:13 PM,4:13 PM
Tunisia,South Georgia and the South Sandwich Islands,04:19 PM,10:16 PM
Kazakhstan,Peru,06:05 PM,8:16 PM
Mexico,Kiribati,12:49 PM,4:21 PM
Mozambique,Qatar,03:10 AM,10:03 AM
Norway,Uganda,09:36 PM,2:26 AM
Congo,Kiribati,03:14 AM,8:50 AM
South Georgia and the South Sandwich Islands,Liechtenstein,12:06 AM,7:52 AM
Malawi,Australia,09:52 AM,10:03 AM
South Georgia and the South Sandwich Islands,Guyana,06:27 AM,11:47 AM
Yemen,Qatar,04:35 AM,9:17 AM
Rwanda,Indonesia,01:27 PM,2:45 PM
Malawi,New Caledonia,03:25 PM,10:11 PM
Tunisia,Australia,06:51 PM,9:14 PM
Cuba,Montenegro,06:06 AM,11:06 AM
Ethiopia,Switzerland,08:27 AM,9:54 AM
Palau,Sweden,04:15 PM,4:45 PM
Holy See (Vatican City State),Bouvet Island,01:30 PM,4:46 PM
Bangladesh,Afghanistan,06:22 PM,8:01 PM
Mozambique,Bouvet Island,09:27 AM,11:19 AM
Jamaica,New Caledonia,11:36 PM,3:02 AM
Holy See (Vatican City State),Montserrat,08:13 AM,12:07 PM
Bangladesh,Switzerland,10:32 PM,5:03 AM
Kazakhstan,Err:502,10:11 AM,5:31 PM
Chile,Qatar,12:35 PM,7:20 PM
Jamaica,Bangladesh,10:29 PM,2:59 AM
South Georgia and the South Sandwich Islands,Guyana,09:31 PM,12:02 AM
Mozambique,Canada,02:46 AM,7:49 AM
Malawi,Liechtenstein,12:34 AM,6:25 AM
Mozambique,Indonesia,12:31 AM,3:01 AM
Mauritania,Indonesia,01:48 AM,5:06 AM
Yemen,Guyana,09:20 AM,4:37 PM
French Southern Territories,Bulgaria,06:11 AM,8:45 AM
Jamaica,Peru,07:56 AM,12:25 PM
Qatar,Bouvet Island,01:30 AM,4:49 AM
Mozambique,Guyana,02:49 AM,3:24 AM
United Arab Emirates,Liechtenstein,11:05 AM,11:25 AM
Cuba,Yemen,10:17 AM,12:14 PM
Hungary,Guyana,08:25 AM,10:50 AM
